"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","My New Years resolution is to get better at voodoo",FALSE,1117,NA,2018-01-07 18:30:34,FALSE,NA,"950072183874904064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carlyaquilino",419,FALSE,FALSE,NA,NA
"2","part of my ""things to do list"" or ""New years resolution"" is to do more things out of my comfort‚Ä¶ https://t.co/xWIYqOJLVq",FALSE,233,NA,2018-01-07 02:36:09,FALSE,NA,"949831997958115331",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","XianLimm",92,FALSE,FALSE,NA,NA
"3","The start of 2018 run, not a New Years resolution. Isn‚Äôt my best time but a start, all of us can. I believe the fir‚Ä¶ https://t.co/7qXNaj52qj",FALSE,886,NA,2018-01-07 17:58:10,TRUE,NA,"950064030638624768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MmusiMaimane",120,FALSE,FALSE,NA,NA
"4","RT @SoDamnTrue: Once i stop being lazy and commit to my new years resolution its over for you bitches",FALSE,0,NA,2018-01-07 23:59:57,FALSE,NA,"950155074550026240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RafaelaLomba96",739,TRUE,FALSE,NA,NA
"5","RT @Aaron_Bumby: Can't remember what my New Years resolution was but pretty sure it wasn't to stay in bed and watch 10,000 episodes of Frie‚Ä¶",FALSE,0,NA,2018-01-07 23:59:43,FALSE,NA,"950155016974745600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlishaaKaye",15,TRUE,FALSE,NA,NA
"6","RT @YandereJane: New Years Resolution: be a better me. Step up the quality of my content. Kick some ass.
Ì†ΩÌ≥∏: ShotWhorePhotography (IG) https‚Ä¶",FALSE,0,NA,2018-01-07 23:59:38,FALSE,NA,"950154996317908993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RickCooter1",89,TRUE,FALSE,NA,NA
"7","RT @Lindseyytcraine: my new years resolution is to put my clothes back on the hangers and in my closet after trying them on. i know that so‚Ä¶",FALSE,0,NA,2018-01-07 23:59:35,FALSE,NA,"950154984175390721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laura_gines3",100157,TRUE,FALSE,NA,NA
"8","My New Years resolution is to drop out of school don‚Äôt need that kind of negativity in my life x",FALSE,1,NA,2018-01-07 23:59:29,FALSE,NA,"950154957663203328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jadeshelly00",0,FALSE,FALSE,NA,NA
"9","I JUST REALIZED I HAVE A BUNCH OF HOMEWORK DUE TOMORROW AND MY NEW YEARS RESOLUTION WAS TO TURN IN MY WORK ON TIME‚Ä¶ https://t.co/IClBS2vKA3",FALSE,5,NA,2018-01-07 23:59:25,TRUE,NA,"950154938633596929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seanxrodz",0,FALSE,FALSE,NA,NA
"10","What is my new years resolution to not let the haters bring me down i would love for my #NOMOREBULLYINGCAMPAIGN to‚Ä¶ https://t.co/Aj99EDlPeZ",FALSE,18,NA,2018-01-07 23:59:23,TRUE,NA,"950154933436846081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cynthia57556324",3,FALSE,FALSE,NA,NA
