"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","my new years resolution was to finally learn how to cook. today i microwaved a frozen trader joes udon noodles bowl‚Ä¶ https://t.co/DrdfjUmf7v",FALSE,724,NA,2018-01-28 02:33:55,TRUE,NA,"957441577055436800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Daya",93,FALSE,FALSE,NA,NA
"2","1 \ My Exclusive on @news10 tonight: Against the U.S. position Israel supported &amp; co-sponsored on Friday a Rwandan‚Ä¶ https://t.co/D3HAbdXK05",FALSE,58,NA,2018-01-28 20:25:27,TRUE,NA,"957711238590550016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarakRavid",92,FALSE,FALSE,NA,NA
"3","RT @ianbhood: Have finally decided what my New Year resolution is:
'To work for the removal of David Mundell from his role as Scottish Secr‚Ä¶",FALSE,0,NA,2018-01-28 23:58:35,FALSE,NA,"957764875400433664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Michell37517439",79,TRUE,FALSE,NA,NA
"4","@urbandoll don‚Äôt have a wishlist thread, all i wish for is a fitbit ‚ò∫Ô∏è it will really help in my ‚Äòattempt‚Äô to fulfi‚Ä¶ https://t.co/wZVNjsj5RB",FALSE,0,"urbandoll",2018-01-28 23:58:29,TRUE,"957674804185677824","957764848820961281","2847258711","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marie_serene",0,FALSE,FALSE,NA,NA
"5","As you may recall, it is my New Year‚Äôs resolution/challenge/curse to keep this thing going all year despite clearly‚Ä¶ https://t.co/ZSqJvzaaF7",FALSE,20,"Herms98",2018-01-28 23:57:55,TRUE,"957762937514442752","957764710153076736","78992857","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Herms98",1,FALSE,FALSE,NA,NA
"6","@k8ebarton Mine always changes ""Netflix"" to ""Netdix"" .. certainly not helping fulfill my new year's resolution of being more mature.",FALSE,0,"k8ebarton",2018-01-28 23:57:44,FALSE,"957761960346570752","957764661910364161","96051302","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HuugoStiglitz",0,FALSE,FALSE,NA,NA
"7","Day 28 of 2018 n my New Years resolution has still not been achieved!! Alas....I am not yet married to Craig David!‚Ä¶ https://t.co/Nd8Y6rUpGi",FALSE,0,NA,2018-01-28 23:56:39,TRUE,NA,"957764388521435136",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","donnap210",0,FALSE,FALSE,NA,NA
"8","RT @BarakRavid: 1 \ My Exclusive on @news10 tonight: Against the U.S. position Israel supported &amp; co-sponsored on Friday a Rwandan initiate‚Ä¶",FALSE,0,NA,2018-01-28 23:56:30,FALSE,NA,"957764353255714816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MikeWoldemariam",92,TRUE,FALSE,NA,NA
"9","RT @tsitra360: Skystar was amazing in the @MLPMovie , finally got to draw both of her forms. Make sure to check out my deviantart for highe‚Ä¶",FALSE,0,NA,2018-01-28 23:56:00,FALSE,NA,"957764225828503552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ssj4raditz",82,TRUE,FALSE,NA,NA
"10","Have finally decided what my New Year resolution is:
'To work for the removal of David Mundell from his role as Sco‚Ä¶ https://t.co/zDtYhFCF32",FALSE,222,NA,2018-01-28 23:55:34,TRUE,NA,"957764116826947584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ianbhood",79,FALSE,FALSE,NA,NA
"11","My only resolution for 2018 is to not shave or cut my hair so that I will look like a real developer by the end of the year.",FALSE,1,NA,2018-01-28 23:54:22,FALSE,NA,"957763814425964544",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","michaelnugent",0,FALSE,FALSE,NA,NA
"12","Late ass New Years resolution..

1. Hit 500 subs

2. Get a fucking six pack lol (basically gain more muscle)

3. Be‚Ä¶ https://t.co/v3Ax9iEtnx",FALSE,3,NA,2018-01-28 23:54:08,TRUE,NA,"957763757240877057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DaddyMemay",0,FALSE,FALSE,NA,NA
"13","Some pple here have started postponing their new year's resolution Cos of Big Brother Naija.... Well!!..what's my own Ì†ΩÌ∫∂ Ì†ΩÌ∫∂  #BBNaija",FALSE,0,NA,2018-01-28 23:54:00,FALSE,NA,"957763721237073920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","phisayur",0,FALSE,FALSE,NA,NA
"14","RT @tsitra360: Skystar was amazing in the @MLPMovie , finally got to draw both of her forms. Make sure to check out my deviantart for highe‚Ä¶",FALSE,0,NA,2018-01-28 23:53:38,FALSE,NA,"957763628496760832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SilverHopeXIII",82,TRUE,FALSE,NA,NA
"15","RT @GenericHeretic: My New Year's Resolution:

I never used the title ‚ÄúPresident‚Äù before the name Trump. I never will. But from now on I wi‚Ä¶",FALSE,0,NA,2018-01-28 23:53:12,FALSE,NA,"957763522791985157",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mideagle",193,TRUE,FALSE,NA,NA
"16","Skystar was amazing in the @MLPMovie , finally got to draw both of her forms. Make sure to check out my deviantart‚Ä¶ https://t.co/JWLvVQ3g7o",FALSE,301,NA,2018-01-28 23:50:08,TRUE,NA,"957762748858843136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsitra360",82,FALSE,FALSE,NA,NA
"17","Me, after failing my no drinking in 2018 resolution: https://t.co/uhOYqHXBMB",FALSE,0,NA,2018-01-28 23:50:07,FALSE,NA,"957762746111557632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zhoujiongjiong",0,FALSE,FALSE,NA,NA
"18","RT @Daya: my new years resolution was to finally learn how to cook. today i microwaved a frozen trader joes udon noodles bowl without looki‚Ä¶",FALSE,0,NA,2018-01-28 23:49:38,FALSE,NA,"957762623055024129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mattpoisxn",93,TRUE,FALSE,NA,NA
"19","Would peeps like it if I uploaded my designs in full resolution so you can  use it for whatever? I feel like it's wasted on just shirts tbh.",FALSE,6,NA,2018-01-28 23:48:42,FALSE,NA,"957762386768859137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Purest_Bo",1,FALSE,FALSE,NA,NA
"20","RT @netnopants: little girls at frys asked me if i wanted girl scout cookies and i politely declined and said that my new years resolution‚Ä¶",FALSE,0,NA,2018-01-28 23:48:15,FALSE,NA,"957762273954562048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dlcougoule024",16,TRUE,FALSE,NA,NA
"21","RT @GlintasticKevin: Filling up my Tweeter with more Warframe fanart I did in 2017  #Warframe 
You can find the high resolution from my Dev‚Ä¶",FALSE,0,NA,2018-01-28 23:47:30,FALSE,NA,"957762086301417472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TWWindham",378,TRUE,FALSE,NA,NA
"22","RT @l1veingdeadgirl: You can purchase all of my content for $25 which includes 8 videos and 312 high resolution photos if you would like mo‚Ä¶",FALSE,0,NA,2018-01-28 23:47:01,FALSE,NA,"957761964100370434",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jaknez",23,TRUE,FALSE,NA,NA
"23","RT @GlintasticKevin: Filling up my Tweeter with more Warframe fanart I did in 2017  #Warframe 
You can find the high resolution from my Dev‚Ä¶",FALSE,0,NA,2018-01-28 23:46:04,FALSE,NA,"957761725251706880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheJMH",378,TRUE,FALSE,NA,NA
"24","RT @GlintasticKevin: Filling up my Tweeter with more Warframe fanart I did in 2017  #Warframe 
You can find the high resolution from my Dev‚Ä¶",FALSE,0,NA,2018-01-28 23:44:57,FALSE,NA,"957761445789396992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SexualDeadNinja",378,TRUE,FALSE,NA,NA
"25","RT @GlintasticKevin: Filling up my Tweeter with more Warframe fanart I did in 2017  #Warframe 
You can find the high resolution from my Dev‚Ä¶",FALSE,0,NA,2018-01-28 23:44:01,FALSE,NA,"957761210920980480",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ValeIRL",378,TRUE,FALSE,NA,NA
"26","RT @TrippBraden: The 2018 CIO resolution: 'Maintain my brain and general fitness for business' https://t.co/zgDqtYMz11 #CIO #leadership #fi‚Ä¶",FALSE,0,NA,2018-01-28 23:42:59,FALSE,NA,"957760951176003584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TrippBraden",2,TRUE,FALSE,NA,NA
"27","RT @danielhowell: we put my new year's resolution ""scream less while gaming"" to the test ..by playing literally the most rage inducing game‚Ä¶",FALSE,0,NA,2018-01-28 23:41:43,FALSE,NA,"957760629925924865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kweenielc",5150,TRUE,FALSE,NA,NA
"28","I just achieved my 2018 resolution less than a month in aye.",FALSE,0,NA,2018-01-28 23:41:36,FALSE,NA,"957760603107577856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KatieOlivero1",0,FALSE,FALSE,NA,NA
"29","RT @GlintasticKevin: Filling up my Tweeter with more Warframe fanart I did in 2017  #Warframe 
You can find the high resolution from my Dev‚Ä¶",FALSE,0,NA,2018-01-28 23:41:10,FALSE,NA,"957760491832651777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Valkyrie497",378,TRUE,FALSE,NA,NA
"30","The latest post on the SoPD website the an annual call for feedback from readers regarding possible improvements to‚Ä¶ https://t.co/yirywNeY2I",FALSE,2,NA,2018-01-28 23:41:05,TRUE,NA,"957760471699992577",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ScienceofPD",1,FALSE,FALSE,NA,NA
"31","RT @GlintasticKevin: Filling up my Tweeter with more Warframe fanart I did in 2017  #Warframe 
You can find the high resolution from my Dev‚Ä¶",FALSE,0,NA,2018-01-28 23:39:54,FALSE,NA,"957760174457987072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Leather_Rebel",378,TRUE,FALSE,NA,NA
"32","RT @BillGates: I‚Äôm optimistic that we‚Äôll see an end to malaria in my lifetime. It‚Äôs a preventable and curable disease, and we‚Äôve already de‚Ä¶",FALSE,0,NA,2018-01-28 23:39:31,FALSE,NA,"957760075774521344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LilKreig",3145,TRUE,FALSE,NA,NA
"33","RT @BarakRavid: 1 \ My Exclusive on @news10 tonight: Against the U.S. position Israel supported &amp; co-sponsored on Friday a Rwandan initiate‚Ä¶",FALSE,0,NA,2018-01-28 23:37:42,FALSE,NA,"957759621246066688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","phoenx7",92,TRUE,FALSE,NA,NA
"34","RT @sadgirlkms: how do i lower my real life resolution? i want other people to observe me in 144p",FALSE,0,NA,2018-01-28 23:37:41,FALSE,NA,"957759616175153158",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","nsttnsttnstt",341,TRUE,FALSE,NA,NA
"35","RT @itsabsaf: Ok I changed my mind. My only New Years resolution is to stop being attracted to tall skinny boys with glasses.",FALSE,0,NA,2018-01-28 23:37:36,FALSE,NA,"957759595392348160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jules_jules_ju",6,TRUE,FALSE,NA,NA
"36","RT @l1veingdeadgirl: You can purchase all of my content for $25 which includes 8 videos and 312 high resolution photos if you would like mo‚Ä¶",FALSE,0,NA,2018-01-28 23:36:51,FALSE,NA,"957759406032216064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","camdollsxxx",23,TRUE,FALSE,NA,NA
"37","RT @l1veingdeadgirl: You can purchase all of my content for $25 which includes 8 videos and 312 high resolution photos if you would like mo‚Ä¶",FALSE,0,NA,2018-01-28 23:36:46,FALSE,NA,"957759384867753985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","camdollsxxx",45,TRUE,FALSE,NA,NA
"38","@lianakey21 It's my new year's resolution. Avoid pills &amp; ghosts lol Ì†ΩÌ±çÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç https://t.co/O8wDcOXZN3",FALSE,1,"lianakey21",2018-01-28 23:36:41,FALSE,"957754866515959808","957759365821468672","711020782135042052","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","valdara4",0,FALSE,FALSE,NA,NA
"39","RT @l1veingdeadgirl: You can purchase all of my content for $25 which includes 8 videos and 312 high resolution photos if you would like mo‚Ä¶",FALSE,0,NA,2018-01-28 23:36:34,FALSE,NA,"957759336104779776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","camdollsxxx",23,TRUE,FALSE,NA,NA
"40","@sarah_alice Thank you! Trying to actually do my New Years resolution to learn how to paint. Next up...watercolors!",FALSE,0,"sarah_alice",2018-01-28 23:33:40,FALSE,"957720020741705728","957758606300020736","23523655","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnastaciaDarby",0,FALSE,FALSE,NA,NA
"41","RT @BarakRavid: 1 \ My Exclusive on @news10 tonight: Against the U.S. position Israel supported &amp; co-sponsored on Friday a Rwandan initiate‚Ä¶",FALSE,0,NA,2018-01-28 23:33:29,FALSE,NA,"957758560867422208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rachel_McRea",92,TRUE,FALSE,NA,NA
